geocode,municipio,casos_total,casos_est,temp_min_media,temp_med_media,temp_max_media,umid_min_media,umid_med_media,umid_max_media,populacao,pib_bruto_mil,pct_esgoto,pct_agua,pct_lixo_coletado,area_km2,pib_percapita,incidencia,dens_demog,grupo
3506300,Bernardino de Campos,597,597,17.336602472527478,21.419155219780222,26.424473901098906,51.38456098901099,71.51401208791208,88.34893956043956,11881,605499,91.81256436663234,91.9155509783728,97.29660144181257,244.80912467983453,50963.63942429089,5024.829559801364,48.531687760977746,1
3506359,Bertioga,136,136,17.733179945054946,20.588516483516486,24.3468532967033,66.77946043956044,83.38854560439562,94.37489203296704,67436,2663550,72.21488912354805,93.10542062653995,99.42801830341429,493.4123620297563,39497.44943353698,201.67269707574587,136.6727005431881,2
3506409,Bilac,593,593,19.238953296703297,24.011885714285718,29.35650054945055,44.54712335164835,62.85685796703297,80.68604148351648,7464,307745,94.42458899213723,93.10221586847749,96.92637598284489,158.32639868029884,41230.57341907824,7944.801714898178,47.14311739681334,1
3506508,Birigui,12195,12195,19.61463791208791,24.31086071428571,29.584205219780216,44.53504917582418,63.2440489010989,81.49437417582418,123340,4866490,97.82004937400811,96.50193969317581,99.03235760888732,531.3052310778423,39455.89427598508,9887.303389006,232.14527692449778,1
3506607,Biritiba Mirim,872,872,16.374426373626374,19.593245879120875,23.835985714285712,63.46018269230769,82.32808681318681,94.73837692307693,30564,1111541,63.137217324645455,67.30548102721349,95.60176312763511,317.8670507807236,36367.65475723073,2853.029708153383,96.1534072969525,2
3506706,Boa Esperança do Sul,2317,2317,18.521399175824172,23.362467307692302,28.827605494505487,42.83427774725274,62.370359615384615,81.00646318681318,13113,633216,94.58646616541353,94.52201933404942,97.16433941997852,692.4906983165312,48289.17867764814,17669.48829405933,18.93599442112097,1
3506805,Bocaina,175,175,18.32618846153846,23.15295192307693,28.66293736263736,42.334720329670326,62.64673461538462,82.07943131868132,11480,381376,94.01814170139741,94.53297376808041,97.94067173326796,365.2617149149675,33220.905923344944,1524.390243902439,31.429518975654293,1
3506904,Bofete,1680,1680,16.472876098901093,20.846584340659344,26.309583516483517,50.196555494505496,72.94426016483517,91.13592087912089,10710,309773,64.79695431472081,70.58375634517766,98.2741116751269,655.21050355898,28923.716153127916,15686.274509803921,16.345891803970325,1
3507001,Boituva,4236,4236,16.644383241758245,21.15145576923076,26.77950934065934,47.316453571428575,70.59040439560441,89.45977857142857,63850,4474130,84.39615083567384,91.33938026612644,99.79280814033795,249.6684413586586,70072.51370399374,6634.299138606108,255.7391701271405,1
3507100,Bom Jesus dos Perdões,87,87,14.892112637362636,18.918081318681317,23.95208021978022,54.79398543956044,77.60315164835164,94.22864945054945,22579,1627411,81.35922330097087,86.22653721682848,99.31391585760517,108.45124925046257,72076.30984543159,385.31378714734933,208.1949277306614,2
3507159,Bom Sucesso de Itararé,17,17,14.109499999999997,17.64776236263737,22.35781675824176,61.122095054945056,82.99537637362637,96.39744752747254,3609,77487,68.34042553191489,71.48936170212767,98.46808510638297,133.85372404477664,21470.490440565252,471.04461069548347,26.962268145731382,2
3507209,Borá,38,38,18.68659532967033,23.31064945054945,28.59051373626373,45.457049175824174,64.02812884615385,81.58267994505495,932,120962,84.78260869565217,82.91925465838509,91.30434782608695,119.24879840276583,129787.55364806867,4077.25321888412,7.815592378986885,1
